ticker,count,mean,std,min,25%,50%,75%,max
ACB,1465.0,26.283515358361775,4.459448769807304,17.5,23.1,25.0,28.0,45.9
VNM,1469.0,80.4927161334241,17.89296765759655,52.0,67.0,74.9,90.1,130.1
VJC,1469.0,113.74281824370321,17.160839885246816,79.1,101.7,108.0,125.2,195.5
VIC,1469.0,78.93165418652144,34.42791330639101,39.9,50.5,77.7,98.8,229.7
VIB,1460.0,26.13013698630137,10.971741663408919,12.7,19.1,21.0,32.4,74.0
VHM,1469.0,67.03985704560925,22.549458113651678,34.5,44.6,63.6,82.2,127.0
VCB,1469.0,85.3494894486045,12.451016616873321,52.5,79.2,88.0,93.3,116.4
TPB,1468.0,23.743017711171664,8.283236985015256,11.7,17.75,21.1,27.4,52.0
TCB,1470.0,33.51568027210884,10.381707025120232,14.9,24.162499999999998,32.1,40.0875,58.0
STB,1470.0,27.447489795918365,10.86936018206337,7.3,20.6,28.05,31.9,61.0
SSI,1470.0,29.50578231292517,10.85775348098017,11.5,20.5125,28.475,35.3875,63.4
SHB,1467.0,15.05523517382413,5.5239293527133855,6.4,11.1,13.0,17.1,32.5
SAB,1470.0,128.36149659863946,58.15427380173719,42.6,57.4,155.3,177.0,236.0
VPB,1469.0,27.548127978216478,12.92383294558578,14.65,19.2,21.75,31.6,72.7
PLX,1470.0,43.44336734693878,8.078675332023188,24.65,37.15,41.3,50.6,63.4
MSN,1470.0,86.93302721088435,27.71128535999128,49.0,68.1,78.5,99.0,172.0
MBB,1470.0,23.43622448979592,5.258188760798918,13.55,18.6,23.35,26.9375,43.45
LPB,1459.0,20.7196847155586,10.326684827011995,5.6,13.7,16.8,28.95,53.9
HPG,1469.0,31.0643294758339,10.817992029142793,12.1,24.35,27.2,35.6,67.8
HDB,1469.0,24.350136147038807,4.749566162087375,14.0,20.9,24.5,27.2,37.4
GVR,1464.0,24.97011612021858,8.577574183038145,8.3,16.8875,26.425,32.212500000000006,42.1
GAS,1470.0,86.13904761904762,17.144159491628102,50.8,72.025,83.5,100.4,134.0
FPT,1469.0,91.97328114363512,26.941479986424557,40.4,77.7,92.0,109.3,154.3
DGC,1464.0,91.44515027322403,43.7871316156284,19.4,56.475,92.4,112.42500000000001,254.8
CTG,1470.0,32.82350340136054,7.553062144499252,17.2,27.8125,32.1,36.15,56.0
BID,1470.0,42.286870748299314,4.879090618033279,28.5,39.05,42.0,46.0,55.5
BCM,1462.0,61.25167578659371,17.379385922031723,16.1,53.5,65.1,73.275,98.0
MWG,1470.0,83.35925170068026,37.06195312013223,35.1,54.2,68.75,116.0,176.6
VRE,1469.0,26.961027910142953,4.817914836365821,16.1,24.1,27.6,30.05,43.4
